Date,Daily Average RH
2014-05-01,31.546495
2014-05-02,31.91314
2014-05-03,32.446293
2014-05-04,32.11962
2014-05-05,31.825443
2014-05-06,31.644543
2014-05-07,32.08215
2014-05-08,32.062965
2014-05-09,32.380386
2014-05-10,32.80958
2014-05-11,33.01463
2014-05-12,32.78791
2014-05-13,32.759777
2014-05-14,32.340225
2014-05-15,32.201927
2014-05-16,31.898684
2014-05-17,31.80734
2014-05-18,32.261215
2014-05-19,32.608105
2014-05-20,32.756268
2014-05-21,32.795708
2014-05-22,32.771187
2014-05-23,33.21149
2014-05-24,33.1015
2014-05-25,33.127136
2014-05-26,33.172485
2014-05-27,33.966835
2014-05-28,33.91515
2014-05-29,33.52619
2014-05-30,33.628937
2014-05-31,33.828804
2014-06-01,33.852154
2014-06-02,34.022778
2014-06-03,33.71209
2014-06-04,32.94522
2014-06-05,33.32241
2014-06-06,33.4279
2014-06-07,33.885887
2014-06-08,33.900047
2014-06-09,34.022278
2014-06-10,34.03043
2014-06-11,33.941647
2014-06-12,34.439518
2014-06-13,34.698235
2014-06-14,35.17343
2014-06-15,34.93499
2014-06-16,35.013653
2014-06-17,35.0554
2014-06-18,34.761486
2014-06-19,35.08257
2014-06-20,35.06027
2014-06-21,35.248653
2014-06-22,35.485016
2014-06-23,35.464302
2014-06-24,35.19039
2014-06-25,34.74663
2014-06-26,34.5537
2014-06-27,34.654564
2014-06-28,34.670456
2014-06-29,34.77407
2014-06-30,34.47417
2014-07-01,34.345497
2014-07-02,34.482056
2014-07-03,34.544525
2014-07-04,34.765816
2014-07-05,34.96065
2014-07-06,34.797028
2014-07-07,35.406246
2014-07-08,35.333992
2014-07-09,34.988976
2014-07-10,34.945118
2014-07-11,35.132103
2014-07-12,35.02457
2014-07-13,34.940475
2014-07-14,35.041477
2014-07-15,35.407253
2014-07-16,35.500397
2014-07-17,35.323643
2014-07-18,35.52566
2014-07-19,35.572792
2014-07-20,35.479965
2014-07-21,35.177605
2014-07-22,34.500748
2014-07-23,34.374977
2014-07-24,34.68562
2014-07-25,35.155296
2014-07-26,34.925236
2014-07-27,34.60381
2014-07-28,34.44038
2014-07-29,34.742138
2014-07-30,35.094185
2014-07-31,34.895397
2014-08-01,34.46405
2014-08-02,34.376556
2014-08-03,34.79588
2014-08-04,35.250595
2014-08-05,35.318222
2014-08-06,35.060825
2014-08-07,34.909554
2014-08-08,34.820755
2014-08-09,34.771767
2014-08-10,34.905277
2014-08-11,34.710056
2014-08-12,34.71559
2014-08-13,34.91087
2014-08-14,34.26775
2014-08-15,34.116257
2014-08-16,34.287365
2014-08-17,34.306087
2014-08-18,33.91385
2014-08-19,34.142532
2014-08-20,34.47323
2014-08-21,34.92708
2014-08-22,34.96053
2014-08-23,35.18489
2014-08-24,35.21735
2014-08-25,34.873604
2014-08-26,34.08533
2014-08-27,33.93244
2014-08-28,34.076084
2014-08-29,34.210888
2014-08-30,34.378887
2014-08-31,33.627872
2014-09-01,33.287056
2014-09-02,33.308056
2014-09-03,33.431747
2014-09-04,33.184185
2014-09-05,33.36004
2014-09-06,33.424835
2014-09-07,33.58888
2014-09-08,33.995434
2014-09-09,34.127316
2014-09-10,34.118813
2014-09-11,34.010204
2014-09-12,33.463116
2014-09-13,33.375237
2014-09-14,32.878742
2014-09-15,32.747498
2014-09-16,32.911892
2014-09-17,33.20731
2014-09-18,33.28658
2014-09-19,33.151405
2014-09-20,33.281307
2014-09-21,33.28424
2014-09-22,33.163452
2014-09-23,33.48421
2014-09-24,33.50607
2014-09-25,33.051094
2014-09-26,32.627094
2014-09-27,33.41622
2014-09-28,34.162
2014-09-29,34.345264
2014-09-30,33.839252
2014-10-01,33.447674
2014-10-02,32.920902
2014-10-03,32.84557
2014-10-04,32.545876
2014-10-05,32.708775
2014-10-06,32.6595
2014-10-07,32.915756
2014-10-08,32.896214
2014-10-09,32.936825
2014-10-10,32.43243
2014-10-11,32.43042
2014-10-12,32.545025
2014-10-13,32.342243
2014-10-14,32.284878
2014-10-15,32.119858
2014-10-16,32.330006
2014-10-17,32.34923
2014-10-18,32.2951
2014-10-19,32.7749
2014-10-20,32.944187
2014-10-21,32.74608
2014-10-22,32.496574
2014-10-23,33.106277
2014-10-24,33.350277
2014-10-25,33.09397
2014-10-26,32.935467
2014-10-27,32.7755
2014-10-28,32.46631
2014-10-29,32.61687
2014-10-30,32.66442
2014-10-31,32.74689
