Date,Daily Average RH
2012-05-01,31.495253
2012-05-02,31.983551
2012-05-03,32.35846
2012-05-04,32.54039
2012-05-05,32.209568
2012-05-06,32.599834
2012-05-07,32.770477
2012-05-08,32.62301
2012-05-09,32.339718
2012-05-10,32.347965
2012-05-11,32.12339
2012-05-12,31.777699
2012-05-13,31.420797
2012-05-14,31.532803
2012-05-15,31.575865
2012-05-16,31.822802
2012-05-17,31.794106
2012-05-18,32.04768
2012-05-19,32.38909
2012-05-20,32.573994
2012-05-21,32.51051
2012-05-22,32.209984
2012-05-23,32.246754
2012-05-24,32.682743
2012-05-25,32.733673
2012-05-26,32.838425
2012-05-27,33.603603
2012-05-28,33.310513
2012-05-29,33.514652
2012-05-30,33.7507
2012-05-31,33.826904
2012-06-01,33.63401
2012-06-02,33.23739
2012-06-03,32.80952
2012-06-04,32.557907
2012-06-05,32.827473
2012-06-06,33.441467
2012-06-07,33.557053
2012-06-08,33.433548
2012-06-09,34.06058
2012-06-10,34.257305
2012-06-11,34.127636
2012-06-12,34.411137
2012-06-13,34.51891
2012-06-14,34.304203
2012-06-15,34.49229
2012-06-16,34.42281
2012-06-17,34.79827
2012-06-18,35.100178
2012-06-19,34.997
2012-06-20,34.8325
2012-06-21,34.679775
2012-06-22,34.45253
2012-06-23,34.784927
2012-06-24,35.232925
2012-06-25,35.106644
2012-06-26,34.87215
2012-06-27,34.84375
2012-06-28,35.137447
2012-06-29,35.517143
2012-06-30,35.069317
2012-07-01,34.900253
2012-07-02,34.9758
2012-07-03,34.890476
2012-07-04,35.287437
2012-07-05,35.408684
2012-07-06,35.49929
2012-07-07,35.8802
2012-07-08,35.618637
2012-07-09,35.7843
2012-07-10,35.047707
2012-07-11,34.929943
2012-07-12,35.109295
2012-07-13,35.082386
2012-07-14,34.642414
2012-07-15,34.940178
2012-07-16,35.359573
2012-07-17,35.037193
2012-07-18,34.79196
2012-07-19,34.47597
2012-07-20,34.515667
2012-07-21,34.522892
2012-07-22,34.27838
2012-07-23,34.174274
2012-07-24,34.293526
2012-07-25,34.551147
2012-07-26,34.688503
2012-07-27,34.762585
2012-07-28,34.706913
2012-07-29,34.554714
2012-07-30,34.72441
2012-07-31,34.850452
2012-08-01,35.346203
2012-08-02,35.16215
2012-08-03,34.703407
2012-08-04,34.71818
2012-08-05,34.86621
2012-08-06,35.004284
2012-08-07,34.821445
2012-08-08,34.37344
2012-08-09,34.39459
2012-08-10,34.238976
2012-08-11,34.289207
2012-08-12,34.186707
2012-08-13,34.226597
2012-08-14,34.245533
2012-08-15,33.976074
2012-08-16,33.840763
2012-08-17,34.228325
2012-08-18,34.201187
2012-08-19,33.890182
2012-08-20,33.666733
2012-08-21,33.73828
2012-08-22,34.277863
2012-08-23,34.11921
2012-08-24,33.616497
2012-08-25,33.880806
2012-08-26,33.9259
2012-08-27,33.676796
2012-08-28,33.682636
2012-08-29,33.861824
2012-08-30,33.378353
2012-08-31,33.137444
2012-09-01,33.134907
2012-09-02,33.038033
2012-09-03,33.271725
2012-09-04,33.066055
2012-09-05,33.0223
2012-09-06,33.0005
2012-09-07,33.261585
2012-09-08,33.070263
2012-09-09,33.112095
2012-09-10,32.884598
2012-09-11,32.919464
2012-09-12,33.044514
2012-09-13,33.11133
2012-09-14,33.282707
2012-09-15,33.027576
2012-09-16,32.793373
2012-09-17,32.507217
2012-09-18,32.284985
2012-09-19,32.56795
2012-09-20,32.938187
2012-09-21,32.742054
2012-09-22,33.036865
2012-09-23,32.29334
2012-09-24,32.319077
2012-09-25,32.62887
2012-09-26,32.843285
2012-09-27,32.96441
2012-09-28,33.35461
2012-09-29,33.258533
2012-09-30,32.769844
2012-10-01,32.35348
2012-10-02,32.415577
2012-10-03,32.766216
2012-10-04,32.86499
2012-10-05,33.08653
2012-10-06,32.708965
2012-10-07,32.36828
2012-10-08,31.847273
2012-10-09,32.342617
2012-10-10,32.57475
2012-10-11,32.396114
2012-10-12,32.648872
2012-10-13,32.417202
2012-10-14,32.083572
2012-10-15,31.692017
2012-10-16,31.350702
2012-10-17,31.918571
2012-10-18,32.114704
2012-10-19,31.976822
2012-10-20,32.113808
2012-10-21,32.534767
2012-10-22,32.35441
2012-10-23,32.306576
2012-10-24,32.514038
2012-10-25,32.195835
2012-10-26,32.20281
2012-10-27,32.49754
2012-10-28,32.520046
2012-10-29,32.697433
2012-10-30,32.71718
2012-10-31,32.39218
