Date,Daily Average RH
2015-05-01,31.101442
2015-05-02,31.641928
2015-05-03,31.67657
2015-05-04,31.696835
2015-05-05,32.09352
2015-05-06,31.802248
2015-05-07,31.43844
2015-05-08,31.862007
2015-05-09,32.06176
2015-05-10,31.879404
2015-05-11,32.409405
2015-05-12,32.5037
2015-05-13,32.111
2015-05-14,32.24313
2015-05-15,32.602165
2015-05-16,32.764606
2015-05-17,32.3645
2015-05-18,32.62641
2015-05-19,33.112755
2015-05-20,33.15213
2015-05-21,33.0864
2015-05-22,33.308907
2015-05-23,33.365402
2015-05-24,33.554672
2015-05-25,33.36153
2015-05-26,33.56371
2015-05-27,33.224037
2015-05-28,33.01944
2015-05-29,33.279217
2015-05-30,32.940895
2015-05-31,33.09457
2015-06-01,33.530834
2015-06-02,33.55495
2015-06-03,33.751904
2015-06-04,33.876057
2015-06-05,33.938408
2015-06-06,33.952045
2015-06-07,34.15043
2015-06-08,34.446236
2015-06-09,34.154816
2015-06-10,33.595036
2015-06-11,33.36965
2015-06-12,33.85354
2015-06-13,34.265102
2015-06-14,34.55281
2015-06-15,34.211555
2015-06-16,34.209656
2015-06-17,34.248253
2015-06-18,33.77211
2015-06-19,33.75584
2015-06-20,33.603
2015-06-21,33.719555
2015-06-22,33.76767
2015-06-23,34.0918
2015-06-24,33.96467
2015-06-25,34.05049
2015-06-26,34.192215
2015-06-27,34.429035
2015-06-28,34.07034
2015-06-29,33.883987
2015-06-30,34.29637
2015-07-01,34.510525
2015-07-02,34.337616
2015-07-03,34.323563
2015-07-04,34.329132
2015-07-05,34.231976
2015-07-06,34.183155
2015-07-07,33.96751
2015-07-08,33.754765
2015-07-09,33.800602
2015-07-10,33.72794
2015-07-11,34.349277
2015-07-12,34.628983
2015-07-13,34.8785
2015-07-14,35.027866
2015-07-15,34.974133
2015-07-16,34.828976
2015-07-17,34.527065
2015-07-18,34.65736
2015-07-19,34.890854
2015-07-20,35.226124
2015-07-21,35.48983
2015-07-22,35.360237
2015-07-23,35.481113
2015-07-24,35.31789
2015-07-25,35.568867
2015-07-26,35.670113
2015-07-27,35.450188
2015-07-28,35.23723
2015-07-29,34.960964
2015-07-30,34.94105
2015-07-31,35.116585
2015-08-01,34.98713
2015-08-02,34.81901
2015-08-03,34.825974
2015-08-04,35.107925
2015-08-05,35.26998
2015-08-06,35.553596
2015-08-07,35.592686
2015-08-08,35.223606
2015-08-09,34.863293
2015-08-10,34.8055
2015-08-11,34.880516
2015-08-12,35.034084
2015-08-13,34.682156
2015-08-14,34.584755
2015-08-15,34.547325
2015-08-16,34.21988
2015-08-17,34.342533
2015-08-18,34.45834
2015-08-19,34.477364
2015-08-20,34.579937
2015-08-21,34.56841
2015-08-22,34.27167
2015-08-23,34.05031
2015-08-24,34.13142
2015-08-25,34.207767
2015-08-26,34.22306
2015-08-27,34.221264
2015-08-28,34.08
2015-08-29,33.679844
2015-08-30,33.376114
2015-08-31,33.605545
2015-09-01,33.57119
2015-09-02,33.906456
2015-09-03,33.883625
2015-09-04,34.13411
2015-09-05,34.208813
2015-09-06,34.088757
2015-09-07,33.52858
2015-09-08,33.87783
2015-09-09,33.781773
2015-09-10,33.451496
2015-09-11,33.274437
2015-09-12,33.49459
2015-09-13,32.829266
2015-09-14,32.664032
2015-09-15,32.928425
2015-09-16,33.458675
2015-09-17,33.460716
2015-09-18,33.41753
2015-09-19,33.22711
2015-09-20,32.916058
2015-09-21,32.859833
2015-09-22,33.1119
2015-09-23,32.84374
2015-09-24,32.819813
2015-09-25,32.927197
2015-09-26,32.39815
2015-09-27,32.27803
2015-09-28,32.690678
2015-09-29,33.10127
2015-09-30,33.291454
2015-10-01,33.7465
2015-10-02,33.44608
2015-10-03,33.541622
2015-10-04,33.107525
2015-10-05,33.059696
2015-10-06,33.229256
2015-10-07,33.713192
2015-10-08,34.569317
2015-10-09,34.435993
2015-10-10,33.469715
2015-10-11,32.963802
2015-10-12,32.415062
2015-10-13,32.567295
2015-10-14,33.019054
2015-10-15,33.566784
2015-10-16,34.01135
2015-10-17,33.69385
2015-10-18,33.772877
2015-10-19,33.88627
2015-10-20,33.67429
2015-10-21,33.216038
2015-10-22,33.031967
2015-10-23,33.20005
2015-10-24,32.934734
2015-10-25,32.59905
2015-10-26,32.923336
2015-10-27,33.230816
2015-10-28,32.933098
2015-10-29,32.735203
2015-10-30,33.01786
2015-10-31,32.96126
