Date,Daily Average RH
2018-05-01,31.934336
2018-05-02,32.11316
2018-05-03,32.151474
2018-05-04,31.851604
2018-05-05,32.1597
2018-05-06,32.72686
2018-05-07,32.939587
2018-05-08,32.556995
2018-05-09,32.076675
2018-05-10,32.350956
2018-05-11,32.71291
2018-05-12,32.885815
2018-05-13,32.87204
2018-05-14,33.031906
2018-05-15,33.40351
2018-05-16,33.44498
2018-05-17,33.10648
2018-05-18,32.645386
2018-05-19,32.362263
2018-05-20,33.088017
2018-05-21,33.435154
2018-05-22,33.155952
2018-05-23,32.939613
2018-05-24,32.609806
2018-05-25,33.000763
2018-05-26,33.612152
2018-05-27,33.684467
2018-05-28,33.384045
2018-05-29,33.544556
2018-05-30,33.20733
2018-05-31,33.301598
2018-06-01,34.186047
2018-06-02,33.83406
2018-06-03,34.122734
2018-06-04,34.194424
2018-06-05,33.917187
2018-06-06,33.901184
2018-06-07,34.389828
2018-06-08,34.73411
2018-06-09,34.45007
2018-06-10,34.18695
2018-06-11,34.298763
2018-06-12,34.23103
2018-06-13,33.942833
2018-06-14,34.093327
2018-06-15,34.71716
2018-06-16,34.980286
2018-06-17,35.733627
2018-06-18,35.734608
2018-06-19,35.71379
2018-06-20,35.228897
2018-06-21,34.886284
2018-06-22,34.57868
2018-06-23,34.020325
2018-06-24,34.285103
2018-06-25,34.818985
2018-06-26,34.99991
2018-06-27,35.74126
2018-06-28,35.618465
2018-06-29,35.282734
2018-06-30,35.282104
2018-07-01,35.531788
2018-07-02,35.660477
2018-07-03,35.733944
2018-07-04,35.57399
2018-07-05,35.398754
2018-07-06,35.63356
2018-07-07,35.216106
2018-07-08,35.070618
2018-07-09,34.951847
2018-07-10,35.22408
2018-07-11,35.40294
2018-07-12,35.545322
2018-07-13,35.625744
2018-07-14,35.56433
2018-07-15,35.6302
2018-07-16,35.70139
2018-07-17,35.703365
2018-07-18,35.856403
2018-07-19,35.78161
2018-07-20,36.122498
2018-07-21,35.918724
2018-07-22,35.675045
2018-07-23,35.70028
2018-07-24,35.19379
2018-07-25,35.26808
2018-07-26,35.38068
2018-07-27,35.227406
2018-07-28,35.276882
2018-07-29,35.53408
2018-07-30,35.602436
2018-07-31,35.39533
2018-08-01,35.0078
2018-08-02,35.16459
2018-08-03,35.173367
2018-08-04,34.98278
2018-08-05,35.075108
2018-08-06,35.408092
2018-08-07,35.5053
2018-08-08,36.076893
2018-08-09,35.577835
2018-08-10,35.5736
2018-08-11,35.503456
2018-08-12,35.416443
2018-08-13,35.52225
2018-08-14,35.517963
2018-08-15,35.4659
2018-08-16,34.88465
2018-08-17,34.310215
2018-08-18,34.141056
2018-08-19,34.416264
2018-08-20,34.483147
2018-08-21,34.66374
2018-08-22,34.419964
2018-08-23,34.365173
2018-08-24,34.84161
2018-08-25,34.708637
2018-08-26,34.618946
2018-08-27,33.954807
2018-08-28,33.572098
2018-08-29,34.03894
2018-08-30,34.59661
2018-08-31,34.669197
2018-09-01,34.28901
2018-09-02,34.124947
2018-09-03,34.35377
2018-09-04,34.4495
2018-09-05,33.99097
2018-09-06,34.12448
2018-09-07,34.148468
2018-09-08,33.93295
2018-09-09,33.172516
2018-09-10,32.999985
2018-09-11,32.860287
2018-09-12,33.070362
2018-09-13,33.25923
2018-09-14,33.160603
2018-09-15,33.33814
2018-09-16,33.27301
2018-09-17,33.093
2018-09-18,32.96883
2018-09-19,33.367523
2018-09-20,33.680565
2018-09-21,33.559452
2018-09-22,33.28742
2018-09-23,32.88087
2018-09-24,33.512775
2018-09-25,33.490295
2018-09-26,33.266876
2018-09-27,33.1829
2018-09-28,33.41442
2018-09-29,33.19848
2018-09-30,33.834145
2018-10-01,33.41396
2018-10-02,33.469257
2018-10-03,33.883297
2018-10-04,33.234608
2018-10-05,33.323357
2018-10-06,33.193504
2018-10-07,33.43129
2018-10-08,33.57959
2018-10-09,33.925827
2018-10-10,33.6139
2018-10-11,33.38737
2018-10-12,33.412262
2018-10-13,33.376816
2018-10-14,33.380936
2018-10-15,33.26086
2018-10-16,32.90882
2018-10-17,33.22478
2018-10-18,33.237244
2018-10-19,33.417633
2018-10-20,33.994087
2018-10-21,34.23999
2018-10-22,33.905422
2018-10-23,33.27435
2018-10-24,32.67109
2018-10-25,32.84596
2018-10-26,33.209393
2018-10-27,33.29424
2018-10-28,32.973812
2018-10-29,32.737766
2018-10-30,32.617027
2018-10-31,32.64373
