Date,Daily Average RH
2016-05-01,32.717926
2016-05-02,32.57831
2016-05-03,32.4831
2016-05-04,32.26612
2016-05-05,32.136837
2016-05-06,32.488014
2016-05-07,32.77718
2016-05-08,33.015244
2016-05-09,32.670135
2016-05-10,32.436497
2016-05-11,32.427032
2016-05-12,32.279858
2016-05-13,32.847084
2016-05-14,32.818157
2016-05-15,32.75299
2016-05-16,32.899334
2016-05-17,33.18496
2016-05-18,33.271904
2016-05-19,33.257336
2016-05-20,33.53803
2016-05-21,33.156456
2016-05-22,32.84397
2016-05-23,32.86806
2016-05-24,33.061665
2016-05-25,33.24775
2016-05-26,33.160107
2016-05-27,33.391365
2016-05-28,33.02581
2016-05-29,33.28717
2016-05-30,33.569187
2016-05-31,33.57151
2016-06-01,33.655926
2016-06-02,33.883724
2016-06-03,34.103004
2016-06-04,33.99545
2016-06-05,34.26173
2016-06-06,33.99716
2016-06-07,33.837013
2016-06-08,34.120922
2016-06-09,34.488132
2016-06-10,34.65592
2016-06-11,35.15084
2016-06-12,35.09203
2016-06-13,34.71127
2016-06-14,35.134346
2016-06-15,35.041023
2016-06-16,34.980415
2016-06-17,35.457573
2016-06-18,35.561005
2016-06-19,35.459198
2016-06-20,35.25525
2016-06-21,35.31405
2016-06-22,35.50765
2016-06-23,35.429764
2016-06-24,35.87889
2016-06-25,36.089252
2016-06-26,36.007195
2016-06-27,36.10603
2016-06-28,35.88707
2016-06-29,35.602154
2016-06-30,35.469696
2016-07-01,35.61093
2016-07-02,35.21739
2016-07-03,35.22252
2016-07-04,35.5642
2016-07-05,35.91058
2016-07-06,36.02399
2016-07-07,36.41203
2016-07-08,35.889786
2016-07-09,35.989044
2016-07-10,35.82888
2016-07-11,35.38972
2016-07-12,35.476448
2016-07-13,35.92934
2016-07-14,36.373344
2016-07-15,36.264145
2016-07-16,36.18655
2016-07-17,35.942596
2016-07-18,35.77057
2016-07-19,35.13371
2016-07-20,34.64156
2016-07-21,34.59787
2016-07-22,34.64749
2016-07-23,35.055107
2016-07-24,35.768764
2016-07-25,35.97187
2016-07-26,35.838615
2016-07-27,35.330727
2016-07-28,35.198307
2016-07-29,35.117577
2016-07-30,35.230564
2016-07-31,35.51535
2016-08-01,35.19497
2016-08-02,34.573097
2016-08-03,34.289375
2016-08-04,34.643032
2016-08-05,34.631767
2016-08-06,34.890427
2016-08-07,35.208054
2016-08-08,35.283836
2016-08-09,35.269234
2016-08-10,34.91484
2016-08-11,34.609093
2016-08-12,35.017464
2016-08-13,35.316517
2016-08-14,35.199394
2016-08-15,35.03125
2016-08-16,34.770733
2016-08-17,34.62773
2016-08-18,34.5132
2016-08-19,34.56346
2016-08-20,34.462273
2016-08-21,34.13987
2016-08-22,34.23823
2016-08-23,34.303192
2016-08-24,34.27714
2016-08-25,34.10298
2016-08-26,34.35499
2016-08-27,34.995148
2016-08-28,35.33635
2016-08-29,35.43585
2016-08-30,35.330498
2016-08-31,34.916527
2016-09-01,34.575764
2016-09-02,34.43283
2016-09-03,34.02913
2016-09-04,33.957504
2016-09-05,33.830585
2016-09-06,33.70242
2016-09-07,33.871063
2016-09-08,33.689495
2016-09-09,33.26375
2016-09-10,33.105
2016-09-11,33.540882
2016-09-12,33.341457
2016-09-13,33.469902
2016-09-14,34.599247
2016-09-15,34.387623
2016-09-16,33.26657
2016-09-17,33.220287
2016-09-18,33.76756
2016-09-19,33.872005
2016-09-20,33.551556
2016-09-21,33.142693
2016-09-22,32.63692
2016-09-23,32.84128
2016-09-24,33.2881
2016-09-25,33.731136
2016-09-26,33.539474
2016-09-27,33.60002
2016-09-28,33.39167
2016-09-29,32.907368
2016-09-30,33.079746
2016-10-01,33.165745
2016-10-02,33.209457
2016-10-03,33.14174
2016-10-04,32.714478
2016-10-05,32.608734
2016-10-06,32.649555
2016-10-07,32.917957
2016-10-08,33.30966
2016-10-09,33.540314
2016-10-10,33.713306
2016-10-11,33.348545
2016-10-12,33.200573
2016-10-13,33.118423
2016-10-14,33.46356
2016-10-15,33.541332
2016-10-16,33.401844
2016-10-17,33.57391
2016-10-18,33.60059
2016-10-19,33.32761
2016-10-20,33.381565
2016-10-21,33.738792
2016-10-22,33.789227
2016-10-23,33.508835
2016-10-24,33.457344
2016-10-25,33.637287
2016-10-26,33.8514
2016-10-27,33.342506
2016-10-28,32.89597
2016-10-29,32.481117
2016-10-30,32.77699
2016-10-31,33.19897
