Date,Daily Average RH
2017-05-01,32.098476
2017-05-02,32.11509
2017-05-03,32.06044
2017-05-04,32.326904
2017-05-05,32.23448
2017-05-06,32.4387
2017-05-07,32.361412
2017-05-08,32.00532
2017-05-09,31.788837
2017-05-10,31.996067
2017-05-11,32.18126
2017-05-12,32.423378
2017-05-13,32.54035
2017-05-14,32.6729
2017-05-15,32.41438
2017-05-16,32.95497
2017-05-17,32.959824
2017-05-18,33.11856
2017-05-19,32.818874
2017-05-20,32.66176
2017-05-21,32.809143
2017-05-22,33.051712
2017-05-23,32.853657
2017-05-24,33.06599
2017-05-25,33.42494
2017-05-26,32.965664
2017-05-27,33.316837
2017-05-28,33.661793
2017-05-29,33.571705
2017-05-30,33.676067
2017-05-31,33.96761
2017-06-01,33.787067
2017-06-02,33.875866
2017-06-03,34.183224
2017-06-04,33.91069
2017-06-05,33.623505
2017-06-06,33.902977
2017-06-07,33.921703
2017-06-08,33.974014
2017-06-09,33.85778
2017-06-10,33.809536
2017-06-11,33.89939
2017-06-12,34.160248
2017-06-13,34.210438
2017-06-14,34.9938
2017-06-15,35.530804
2017-06-16,35.098415
2017-06-17,34.808525
2017-06-18,34.89326
2017-06-19,34.877266
2017-06-20,35.37752
2017-06-21,35.381317
2017-06-22,35.433704
2017-06-23,35.178947
2017-06-24,34.858704
2017-06-25,34.887737
2017-06-26,34.817978
2017-06-27,34.93461
2017-06-28,34.998425
2017-06-29,35.3909
2017-06-30,35.643917
2017-07-01,35.182163
2017-07-02,34.651413
2017-07-03,34.857445
2017-07-04,35.22943
2017-07-05,35.14017
2017-07-06,35.494007
2017-07-07,35.506844
2017-07-08,35.300873
2017-07-09,35.197376
2017-07-10,35.05919
2017-07-11,35.27338
2017-07-12,34.793358
2017-07-13,34.773537
2017-07-14,35.141235
2017-07-15,35.29572
2017-07-16,35.03478
2017-07-17,34.715687
2017-07-18,34.2807
2017-07-19,34.433117
2017-07-20,34.616585
2017-07-21,34.519802
2017-07-22,34.847317
2017-07-23,35.12807
2017-07-24,35.117825
2017-07-25,34.694466
2017-07-26,34.645298
2017-07-27,34.36478
2017-07-28,34.28874
2017-07-29,34.656086
2017-07-30,34.848602
2017-07-31,34.745148
2017-08-01,34.43364
2017-08-02,34.211494
2017-08-03,33.953144
2017-08-04,34.05113
2017-08-05,34.475094
2017-08-06,34.708763
2017-08-07,34.576008
2017-08-08,34.687958
2017-08-09,34.395267
2017-08-10,34.63909
2017-08-11,34.912785
2017-08-12,34.445374
2017-08-13,34.20195
2017-08-14,34.625698
2017-08-15,35.102814
2017-08-16,35.034786
2017-08-17,34.68657
2017-08-18,34.48341
2017-08-19,33.875465
2017-08-20,34.22984
2017-08-21,33.846226
2017-08-22,33.303837
2017-08-23,32.995388
2017-08-24,33.10415
2017-08-25,32.943275
2017-08-26,32.76705
2017-08-27,33.068794
2017-08-28,32.80139
2017-08-29,32.7639
2017-08-30,32.922256
2017-08-31,33.14555
2017-09-01,33.367966
2017-09-02,33.30372
2017-09-03,33.06871
2017-09-04,32.75841
2017-09-05,32.34794
2017-09-06,32.855392
2017-09-07,33.48746
2017-09-08,34.0951
2017-09-09,33.15762
2017-09-10,32.679386
2017-09-11,32.62218
2017-09-12,32.30817
2017-09-13,31.930634
2017-09-14,31.876707
2017-09-15,31.845873
2017-09-16,32.177883
2017-09-17,32.363148
2017-09-18,32.325333
2017-09-19,32.358345
2017-09-20,32.029037
2017-09-21,31.625628
2017-09-22,31.820505
2017-09-23,32.26463
2017-09-24,32.417652
2017-09-25,32.438168
2017-09-26,32.671967
2017-09-27,32.659767
2017-09-28,32.41139
2017-09-29,32.988487
2017-09-30,33.154713
2017-10-01,33.620792
2017-10-02,34.013783
2017-10-03,33.543
2017-10-04,32.953217
2017-10-05,32.58502
2017-10-06,32.876293
2017-10-07,32.65992
2017-10-08,32.10841
2017-10-09,32.037647
2017-10-10,31.976156
2017-10-11,31.800406
2017-10-12,31.724617
2017-10-13,32.037315
2017-10-14,32.28537
2017-10-15,32.59165
2017-10-16,32.80688
2017-10-17,33.00712
2017-10-18,33.75784
2017-10-19,33.698814
2017-10-20,33.254444
2017-10-21,33.275703
2017-10-22,33.361164
2017-10-23,33.251945
2017-10-24,32.575474
2017-10-25,32.578743
2017-10-26,32.86274
2017-10-27,32.919514
2017-10-28,32.952274
2017-10-29,32.901573
2017-10-30,32.558624
2017-10-31,32.75604
